用户id,微博昵称,微博正文,是否认证,是否会员,有无签名,微博数,关注数,粉丝数,分组数,原创率,发图率,注册时间,性别,生日,地区
6075982187,芙蓉并蒂LRO,求推荐北京价格适中技术好点的医院医生　　　　　　　　　　　　　　　　　　　　　　,1,0,0,14566,60,10284,1,0.0000,0.0400,2018-07-09,男,0,其他
1886673683,湖曲网络工作室21,求推荐哪个医生技术好有审美　　　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,9205,169,88,1,0.0000,0.0643,2010-12-09,男,0,江西
5256742968,邵武市佳迎菲网络工作室03,哪些医生经验丰富案例多，求推荐　　　　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,7490,44,3,1,0.0000,0.0763,2015-02-23,女,0,其他
3658084503,fz04zxp,想了解杭州矫正医生哪个好，求推荐　　　　　　　　　　　　　　　　　　　　　　,1,0,1,5082,67,10265,1,0.0099,0.1163,2013-07-24,男,1985-09-26,广东 广州
1691025034,佳享英网络6,哪些医生经验丰富案例多，求推荐　　　　　　　　　　　　　　　　　　　　　　,1,0,1,7777,49,61,1,0.0000,0.0749,01月08日 08:,男,1987-02-24,江西
2012442393,霜桥月馆,求推荐哪个医生技术好有审美　　　　　　　　　　　　　　　　　　　　　　　　,1,0,1,6852,1298,10011,1,0.0000,0.0866,2012-04-05,女,01-01,海南 海口
5031382618,芝士圆子,快进来👉,1,1,0,1433,251,1619353,1,0.8966,0.8966,2018-02-01,女,处女座,北京
6611935601,米苏苏吖,不是，这个东西上热搜了,0,1,1,13,263,2,1,0.6154,0.5385,2020-03-06,女,1901-06-02,福建
6677520928,老子只想干饭,不被腻死才怪 搞不懂这种东西也上热搜？无语子,0,0,1,181,33,18,1,0.2722,0.5000,2020-05-16,女,1997-07-02,其他
6271869554,什么亚子鸭,码住,0,0,1,126,105,47,1,0.0673,0.6731,2019-12-26,女,天秤座,云南 西双版纳
2544788295,李有点朦胧, 做这个吧,0,1,1,266,106,171,2,0.2857,0.4286,2020-09-05,女,狮子座,其他
5834603151,灯光再亮也抱住你鸭,,0,1,1,156,721,96,1,0.5096,0.3822,2018-12-27,女,2000-02-21,江西 赣州
5834603151,灯光再亮也抱住你鸭,姐姐看看我,0,1,1,156,721,96,1,0.5096,0.4459,2018-12-27,女,2000-02-21,江西 赣州
5834603151,灯光再亮也抱住你鸭,哇哦，我爱,0,1,1,156,721,96,1,0.5096,0.4459,2018-12-27,女,2000-02-21,江西 赣州
6191212004,林雪桦欢喜就好,,0,1,1,91,125,105,1,0.9412,0.9412,2017-05-16,女,2000-02-09,浙江 杭州
6124067027,lemon-柠凝咛,,0,1,1,1265,917,251,1,0.2217,0.6651,2017-01-26,女,1998-09-03,山东
5979247455,0,,0,1,1,225,437,27,1,0.0400,0.7111,2017-10-04,0,0,0
2235239940,雷老狗丶,回复:给老子学,0,1,1,19,208,263,1,0.7500,0.6250,2019-05-31,男,1995-09-06,海南 三亚
5035476791,这个昵称可用吧吧,回复:哈哈哈,0,1,1,758,736,442,1,1.1600,1.1200,2020-08-24,男,白羊座,陕西 西安
7292766220,软萌猫乖乖可爱d,🐴,0,1,1,218,198,53,1,0.3196,0.5479,2019-08-27,女,2002-07-04,广东
1558318712,谷发,,0,1,1,465,422,1908,1,1.2857,1.0000,2020-09-05,女,巨蟹座,上海 普陀区
1558318712,0,,0,1,1,465,422,1908,1,1.2857,1.0000,2020-09-05,0,0,0
5058877567,是你的高高啊,,0,1,1,61,219,237,1,0.1333,0.8333,2017-03-17,女,2004-03-17,上海 浦东新区
7535248083,栩大哈哈, ,0,1,1,22,26,14,1,2.0000,0.8000,02月11日 16:,女,2001-11-16,河北
6522570250,三又四分之十三o,回复:肯定是买的,0,0,0,898,248,4,1,0.0669,0.6800,2019-06-10,女,2001-03-14,其他
5979720511,别离开哦w,当然要，有这个机会先赶紧赚钱存钱吧,0,1,1,2608,463,358,1,1.0000,1.0000,2020-08-25,女,巨蟹座,浙江 嘉兴
7396353019,午間樂隊營業時間,是个机会就应该把握，尽管有可能失去很多东西，但是同样你也会收获很多同龄人得不到的,0,1,1,4623,497,573,1,1.0000,1.0000,2020-08-31,女,射手座,湖北
3971598862,爱贾护丽,从来不该有一夜成名，都是千锤百炼，那叫机遇。,0,0,1,817,152,41,1,0.2445,0.4768,2017-12-23,女,2002-09-06,广东
5516200815,一片冬麦一群烊,不是该不该吧，是能不能,0,0,1,841,242,153,1,0.1310,0.5238,2017-07-22,女,1997-03-15,其他
5979720511,别离开哦w,当然要，有这个机会先赶紧赚钱存钱吧,0,1,1,2608,463,358,1,1.0000,1.0000,2020-08-25,女,巨蟹座,浙江 嘉兴
7396353019,午間樂隊營業時間,是个机会就应该把握，尽管有可能失去很多东西，但是同样你也会收获很多同龄人得不到的,0,1,1,4623,497,573,1,1.0000,1.0000,2020-08-31,女,射手座,湖北
5912549211,演员张凤,必须要好好把握，因为在你把握的时候你知道你有这个能力,1,1,1,236,688,40187,1,1.0000,0.4583,2019-03-03,男,2000-11-30,上海
5352982910,香菜绿简直无敌了,当然要啊，举个例子。别看郑爽现在退圈了还赔钱品牌商  人家剩的钱够用一辈子了 要是没有成名可能就没有代孕这事但可能现在还在为买房发愁呢 钱真的是好东西,0,1,1,409,121,94,1,1.0000,1.0000,2020-09-12,女,1994-10-16,海外
1911104402,面相隐士,思达回归果然炸场！久违又熟悉的处变不惊着应对奇袭，缓缓道来的语速真的很有共情。角度永远意想不到,1,1,0,20389,25,3703497,1,0.0975,0.0960,2018-03-28,男,1973-03-30,北京
6074104703,饯缘枳淵,谁不想要呢？！,0,0,1,563,251,122,1,0.6607,0.3036,2017-12-31,女,0,其他
7155729765,没粘性的胶布,一辈子都不会出名，不要干嘛？,0,0,1,140,587,111,1,0.5042,0.5882,2019-05-22,女,0,海外 卢森堡
7557311356,Cerb的锦,小沈阳当属 一夜成名的🌰 ，他用经验告诉大家  不该,0,0,0,9,0,1,1,1.0000,0.4444,02月05日 13:,男,0,其他
7267943509,普爷的啾啾,回复:当然要了，就比如那个粗眉毛小吴，红了以后赚了多少钱。,0,0,1,177,100,34,1,0.4688,0.7812,2020-01-05,女,天蝎座,其他
5864155776,归城朽年,看有没有把握和珍惜的能力，,0,1,1,2904,70,147,1,0.3402,0.4261,2016-02-20,女,1996-08-01,吉林 延边朝鲜族自治州
1768694475,从前有一只喵_,机会难得，不应该错过,0,1,0,95,114,76,1,0.6316,0.8421,2014-08-30,女,摩羯座,广东 广州
5516200815,一片冬麦一群烊,不是该不该吧，是能不能,0,0,1,841,242,153,1,0.1310,0.5238,2017-07-22,女,1997-03-15,其他
3474558494,柒晟岚,回复:更何况,0,0,1,18,198,162,1,0.2222,0.5000,2014-08-28,女,1994-02-09,四川 成都
3474558494,柒晟岚,【射】手座♐️,0,0,1,18,198,162,1,0.2222,0.5000,2014-08-28,女,1994-02-09,四川 成都
1833270621,又见飞扬,以我个人的长相和能力，一夜成名只有两种可能1.因为惊天丑闻出名。2.因为做好事而牺牲出名，所以我并不想一夜成名。,0,0,1,61,317,66,1,0.3273,0.6909,2010-10-19,女,0001-00-00,福建
5305984626,25度BF,明天和意外，不知道哪个先到来，今晚就有机会，为什么不把握？,0,0,1,117,503,79,5,0.0427,0.6838,2014-09-23,女,1988-12-12,海外 墨西哥
6530310721,-Purple睡个好觉-,从来都没有不付出努力就白来的东西，就算一时给了你你也接不起,0,1,1,279,185,1184,1,0.7865,0.3371,01月29日 18:,男,1994-01-23,黑龙江
5974594498,多肉小葡萄奶茶,要,0,0,0,14,46,2,1,0.0000,0.2308,02月17日 19:,女,1995-05-11,浙江 温州
2681424767,何必还要清醒着呢,我宁可昙花一现的富，也不想脚踏实地的穷,0,1,1,1991,429,108,1,0.1508,0.6131,2015-09-18,女,0,其他
6279006958,噌噌打倒小白莲,你先把话捋好了说,0,0,1,116,51,5,1,0.0862,0.3448,2017-08-28,女,1994-06-23,上海
6342611756,vittorit,哪有什么一夜成名其实都是百炼成钢罢了,0,0,1,122,158,43,1,0.4274,0.5983,2020-04-04,女,2008-05-01,山西 忻州
6796099748,风生水起HYLY,当然不该有，如果给我就当我没说。,0,1,1,308,157,84,1,0.5138,0.4828,2020-07-20,女,0,其他
5969384229,Solitude_hyf,机会还是要把握住吧，也许有的人一辈子都不能成名，人成名过一次，一次让人记住了也好，人生也算圆满了……,0,1,1,11,56,19,1,0.8182,0.9091,2020-02-29,女,白羊座,北京 朝阳区
1565630010,璇玑_yolkxuan,机会都不给，能不能把握就看个人了；连机会都不给，那还是平等的社会么？,0,0,1,422,270,151,1,0.3580,0.7613,2011-07-10,女,1984-10-11,福建 厦门
7488605540,会和阿易好多好多年,有这个机会为什么不好好把握呢？我今年已经20岁了。,0,1,1,167,557,4,1,0.7879,0.4242,2020-08-14,女,0,其他
3087480317,意蓝秋语lakee,能有机会都不带说不要的,0,0,1,2020,250,120,1,0.0248,0.7727,2013-04-01,女,0001-00-00,广东 广州
1768157790,漫步人生潇洒路,出名要趁早，名句啊,0,1,1,2390,140,174,1,1.0000,1.0000,2020-10-23,女,0,浙江 杭州
5253213656,小康追兔记,,0,1,1,3658,230,510,1,0.2663,0.3314,2020-07-29,女,2004-06-15,四川 成都
7217425481,螺蛳粉星星,一月3000，要啊，卖流量广告也能财富自由了要,0,0,1,1119,431,51,1,0.4029,0.3402,2019-07-04,女,1986-07-04,上海
5495948759,他说他一直都在_,可,1,1,0,4353,349,10531,1,0.2147,0.2131,2019-08-27,女,狮子座,黑龙江
6124789999,小飞侠577,辩论赛的这种题目就不要拿出赛场来讨论了，你说张三杀人了他该不该死呢？张三是谋财害命该不该死？张三是正当防卫该不该死？张三是保家卫国该不该死？脱离情景讨论问题，也是没点事儿干了,0,1,0,125,31,1,1,0.7576,0.3030,2019-07-01,男,1987-06-22,江西
1507428657,Elephant控,思达宝藏男孩,0,0,0,109,91,209,1,0.9756,0.9756,2020-08-01,女,水瓶座,上海
7285472233,芋圆很爱困,没有什么一夜成名，你也不知道背后多少努力,0,0,1,129,82,2,1,0.4839,0.4839,2020-08-14,女,0,河北
5630828403,万年老玐是齐齐的十二,回复:从来都没有一夜成名，都是百炼成钢,0,1,1,190,196,196,1,0.6330,0.6915,2019-08-05,女,2001-10-19,四川 成都
6295222109,源是BGM,说该的因为钱，说不该的因为精神。想一夜成名不过是羡慕名人的光芒万丈，但你有什么资本成名？不过这也没什么错，没钱是万万不能的，不想一夜成名的懂得脚踏实地的道理，成名可能不会在二十岁，但终有一日，名垂青史。可能这短短的一生也未必能实现，但在不断积极的生活中，已然，成为了最闪亮的星。,0,1,1,270,98,105,1,0.1815,0.6296,2017-07-21,女,2001-11-14,河北
2630724211,NancyY55,二十岁不小了,0,1,1,1929,243,159,1,0.5105,0.4842,2017-08-23,女,1998-07-10,黑龙江 哈尔滨
7272581936,若若爱困,从来都没有什么一夜成名，都是经过自己的努力换来的结果,0,0,1,212,165,1,1,0.4861,0.6250,2020-08-28,女,白羊座,其他
7200980596,2021做回自己comeback,有真本事的，该出道就出道！,0,1,0,288,192,4,1,0.3136,0.3833,2020-12-30,男,0,其他
5856369921,夏丶眸,出名要趁早，不然会晚节不保,0,0,1,63,207,22,1,0.9677,0.3226,2017-10-16,男,1997-07-13,其他
5912549211,演员张凤,必须要好好把握，因为在你把握的时候你知道你有这个能力,1,1,1,236,688,40187,1,1.0000,0.4583,2019-03-03,男,2000-11-30,上海
5979720511,别离开哦w,回复:不管你成名能成多久，成名这会儿赚的钱要比你当普通人时多多少倍呢,0,1,1,2608,463,358,1,1.0000,1.0000,2020-08-25,女,巨蟹座,浙江 嘉兴
3971598862,爱贾护丽,从来不该有一夜成名，都是千锤百炼，那叫机遇。,0,0,1,817,152,41,1,0.2445,0.4768,2017-12-23,女,2002-09-06,广东
5786711768,岚柒_whale,如果有继续走下去的能力，一夜成名也不是个坏事,0,0,1,1549,419,75,1,0.3696,0.5123,2016-06-07,女,2002-12-27,天津
1747203785,悬初晴-做自己的事业粉,我参与了 发起的【你觉得该要不要二十岁一夜成名的机会呢？】，我投给了“2.不该”这个选项，你也快来表态吧~,0,1,1,30825,468,473,1,1.0000,1.0000,2020-08-28,女,1994-07-23,广东
5979720511,别离开哦w,当然要，有这个机会先赶紧赚钱存钱吧,0,1,1,2608,463,358,1,1.0000,1.0000,2020-08-25,女,巨蟹座,浙江 嘉兴
2110705772,微博综艺,:  今天播出的奇葩说中，姜思达肖骁史航老友回归与小鹿席瑞熊浩展开了一场精彩的辩论。你觉得该要不要二十岁一夜成名的机会呢？ 你觉得该要不要二十岁一夜成名的机会呢？ ,1,1,1,104188,3827,15227011,7,0.0182,0.0063,2015-07-21,男,01-01,北京
5107026692,Dear芥末糖,: 奇葩说这几期感觉比之前好看一些了 小鹿不仅思维敏捷 而且大拇指也好灵活啊哈哈哈真的绝了  ,0,1,1,1490,409,605,2,1.0000,1.0000,2020-09-06,女,2002-08-24,湖北 宜昌
5405787673,微博电视,: 刚刚傅首尔在微博上就今天奇葩说里她自己提出“”发布了一条微博解释，在文中感谢范湉湉的支持，还说自己在本季节目第一期就想好了淘汰感言“淘汰傅首尔挺好的，说明我们的节目越来越好”同时还说“人生即便梦幻空花，绽放就有意义。”,1,1,1,42797,1348,2319516,2,0.0459,0.0152,2017-12-22,女,1992-02-18,北京
1828239375,小白亲爱的小白呀,: 最近几期奇葩说也太好哭了。今年的选手都好真诚，内心坦荡目光坚定。决赛配置真是i了，群贤毕至。 ,0,1,1,1993,117,1065,1,0.6471,0.6225,2011-08-12,女,1991-05-02,海外 加拿大
3602901075,巴黎巴黎伦敦,: 小鹿这个手指太佩服了啊，太灵活了啊，这期《奇葩说》真的是要把我笑死了，好有梗的小鹿 ,0,1,1,4015,926,220,1,0.1856,0.3608,2014-09-27,男,1991-11-05,其他
2733513541,香香臭皮辣,:超喜欢看奇葩说，感觉这里的选手都是文化人儿啊，节奏和想法太快了，一期要看好几遍,0,0,1,666,54,56,1,0.8871,0.6290,2020-09-03,女,0,上海
6558953345,洢洢炎炎,:这个节目真的是一场语言艺术的盛宴 每次看都觉得精彩至极，这期的节目小鹿的拇指真的是让我大开眼界啊 ,0,0,0,115,219,120,1,0.8772,0.2632,01月17日 21:,女,0,河南 郑州
5079201282,我会养乐多,: 小鹿不仅仅思维敏捷口齿伶俐，她还有着一个灵活的大拇指，真的绝了，被小姐姐圈粉了，怎么这么厉害 ,0,1,1,12297,2007,966,2,0.0220,0.0008,2016-12-23,男,1998-05-20,北京 朝阳区
6635971713,七有cs神巧,:不断输出金句良言，节目入股不亏，真的值得去看啊！！！这个大拇指真的好灵活，好可爱啊！特别喜欢小鹿的发言  ,0,0,1,425,369,130,1,0.8531,0.5213,2018-08-20,女,0,其他
7531424930,dalong1245,: 真的是太有意思了，这手指真的好灵活啊，感觉真是太柔软了，真的是让人羡慕啊，小鹿真的是越来越优秀了，真是超喜欢她耶 ,0,0,0,517,416,375,1,0.8317,0.6576,2020-12-07,女,1996-06-16,四川 南充
6409122638,上上签的鸭脖,: 小鹿的辩论能力也太强啦,1,1,1,1380,496,2615,1,1.0173,1.0173,0,女,双鱼座,其他
2305628673,Butterface,关晓彤加李晟,0,1,0,51,561,697,1,0.9091,0.7273,2018-04-16,女,1998-11-10,海南 海口
1119059525,何仙姑,太好看了叭……,1,1,1,928,251,9455329,1,0.9957,0.0649,2019-08-23,女,1998-03-29,四川 成都
5204006593,就是木木呀,像关晓彤,0,1,1,17878,483,699,1,0.0201,0.0682,2014-11-19,女,1998-05-04,其他
2654836571,Zz熊宝宝zZ,回复:张檬,0,1,1,4048,437,698,2,0.0630,0.2894,2013-10-08,女,水瓶座,湖南
5765157999,棘心妖妖5765157999,感觉小时候的那两张有点像胡先煦哈哈,0,0,0,8,137,47,1,0.5714,0.0000,2020-08-06,女,1996-09-01,广东 深圳
5540983133,男哥SonyaLee,吴谨言,0,1,1,185,154,136,6,1.0714,1.0714,2020-08-25,女,1995-02-27,湖北 武汉
5509708278,小李想要多点头发,比关晓彤好看点，更有少女感,0,1,0,41,114,122,2,0.8824,0.8824,2018-08-24,女,2000-12-17,山东 潍坊
5380449816,旅途中的河马,昨晚刚重温了一遍,0,0,1,430,875,173,1,0.0930,0.3953,2014-11-29,女,1995-10-07,福建 三明
5323487678,Bmnjhzhl,真好看,0,1,1,629,349,341,1,1.0692,1.0769,0,女,射手座,海南
5680477596,0613Mooochi,赚足我眼泪的电影,0,0,0,151,172,50,1,0.7190,0.5229,2017-02-07,女,0,山东 淄博
6398906227,第二杯奶丞半价Y,原来已经过去这么久了,0,0,1,4,165,1,1,0.2500,0.7500,2020-04-09,女,0,其他
5255510692,忘忧YY,漂亮,0,1,1,694,38,67,1,0.3594,0.4844,2019-08-11,女,1998-01-01,山西
5112696373,昵称被占用好烦,美的像洋娃娃啊,0,1,0,433,255,137,1,0.2083,0.7407,2014-11-14,男,0,其他
5255510692,忘忧YY,漂亮,0,1,1,694,38,67,1,0.3594,0.4844,2019-08-11,女,1998-01-01,山西
5112696373,昵称被占用好烦,美的像洋娃娃啊,0,1,0,433,255,137,1,0.2083,0.7407,2014-11-14,男,0,其他
7477301751,扒拉什么扒拉,田小野,0,0,0,54,18,1,1,0.7843,0.9804,2020-09-08,女,2000-12-20,广东
5558567851,L米昂子,她的发际线比小时候还靠前，这不公平,0,1,1,118,31,490,1,0.6422,0.5505,2015-11-25,女,双子座,浙江 温州
